"match_id","team_id","team_name","player_id","player_name","player_position","player_minutesPlayed","player_index_score","tackles","tackle_errors","carries","carry_errors","metres_carried","passes","pass_errors","tries_scored","ruck_entries","ruck_errors","lineout_throws","lineout_throw_errors","lineout_contests_won","lineout_contest_errors","goal_kicks_made","goal_kicks_errors","kicks","kick_errors","reception_success","reception_failure"
271736,4581,"Bristol Bears",193564,"Yann Thomas","loosehead prop",59,72.57,4,0,4,1,0,3,0,0,13,1,0,0,0,0,0,0,0,0,0,0
271736,4581,"Bristol Bears",218680,"Kyle Sinckler","tighthead prop",53,68.75,7,1,4,1,0,5,0,0,10,2,0,0,0,0,0,0,0,0,0,0
271736,4581,"Bristol Bears",131596,"Sam Jeffries","flanker",80,74.52,13,0,3,1,0,10,0,0,17,2,0,0,2,0,0,0,0,0,1,0
271736,4581,"Bristol Bears",156903,"James Williams","inside centre",61,80.07,5,0,5,1,0,10,0,0,14,0,0,0,0,0,0,0,0,0,0,1
271736,4581,"Bristol Bears",143950,"Semi Radradra Waqavatu","outside centre",80,80.96,10,2,11,0,0,8,0,1,9,1,0,0,0,0,0,0,0,0,1,0
271736,4581,"Bristol Bears",147794,"Joe Batley","second row",80,68.37,5,1,5,2,0,7,0,0,13,1,0,0,9,0,0,0,0,0,2,0
271736,4581,"Bristol Bears",168050,"Siva Naulago","right wing",80,74.97,5,5,13,2,0,5,0,1,8,0,0,0,0,0,0,0,0,0,3,0
271736,4581,"Bristol Bears",112066,"Fitz Harding","number eight",35,89.33,4,0,4,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,1,0
271736,4581,"Bristol Bears",156550,"Magnus Bradbury","number eight",45,97.02,8,0,6,0,0,2,0,1,10,0,0,0,0,0,0,0,0,0,2,0
271736,4581,"Bristol Bears",130811,"Max Lahiff","Tighthead Prop",27,61.35,3,2,2,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
271736,4581,"Bristol Bears",106402,"Jake Woolmore","Loosehead Prop",21,79.32,4,0,1,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,1,0
271736,4581,"Bristol Bears",191866,"Sam Bedlow","inside centre",19,76.12,7,1,1,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,1
271736,4581,"Bristol Bears",111797,"Andy Uren","scrum half",16,71.9,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0
271736,4581,"Bristol Bears",169594,"Piers O'Conor","left wing",12,79.92,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
